,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Earth,Earth,338,339,"Introduction
Isolation, environmental extremes and depauperate floral and faunal communities make polar habitats natural laboratories for investigating the minimal conditions capable of supporting biological interactions on Earth.",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
1,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Arctic,Arctic,436,437,"To date, most of what we know about the ecological interactions of minimal conditions in polar habitats is concentrated in the Arctic where, for example, the ‘simplicity’ of trophic interactions and the expected sequence of primary community assembly have been challenged (Hodkinson et al.",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
2,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Antarctica,Antarctica,547,548,"By comparison, traditionally, ecological interactions in Antarctica have been considered to be even more ‘minimal’ — although there is a general consensus that such a designation is based more on logical supposition than field evidence (Hogg and Stevens 2002; Hogg et al.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Antarctica,Antarctica,890,891,"For example, springtails (Collembola) are one of the most successful invertebrate taxa, flourishing in every terrestrial biome on the planet, from the tropics to Antarctica (Hopkin 1997).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Antarctica,Antarctica,1208,1209,"In addition to its customary somatic functions (Hopkin 1997), the moult biology of Antarctic springtails has already been found to interact with, and/or facilitate, their occupation of Antarctica’s extreme terrestrial habitats in a number of ways including increased survival and tolerance of low temperatures (Worland 2005; Worland and Convey 2008), the off-setting of starvation (Hawes, Worland, et al. 2008; Hawes 2011), the provision of ‘rafts’ for floating on water bodies (Hawes, Worland, et al. 2008), and the avoidance of ultraviolet radiation photic damage by preferentially moulting in a nonilluminated habitat space (Hawes et al. 2012).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Antarctica,Antarctica,1388,1389,"These exuvial accumulations were found to be responsible for the binding of lithic particulate material together: the first unequivocal documented evidence of structural habitat modification by terrestrial invertebrates in Antarctica.
",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Granite Harbour,Granite Harbour,1407,1409,"Methods Study site
Fieldwork was carried out in January 2010 during a field visit to Granite Harbour, Victoria Land (Hawes 2011; Hawes et al.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Mount England,Mount England,1502,1504,"The study area was a rocky shoreline extending to the moraines of the Mackay Glacier terminus, bounded on its northerly side by steep rock scree slopes that lead up to Mount England, and on its southerly side by sea ice.",True,True,True,True,False,False,True,True,,,,,,,,,,,,,,,True,True,True
8,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Antarctica,Antarctica,4975,4976,"This is the first evidence that members of Antarctica’s terrestrial invertebrate fauna physically alter their abiotic environment.
",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Branchinecta gaini,Branchinecta gaini,True,764,766,4440,"Similarly, recent investigations of the Antarctic fairy shrimp, Branchinecta gaini, have revealed evidence of biotic<>biotic interactions (cannibalism) and hinted at biotic— abiotic interactions through the mechanical breakdown of detritus in freshwater pools (which in turn sustains the food base of subsequent generations) (Hawes 2008b).
",True,Arctic,Arctic,5146,5147,Does collembolan grazing influence nitrogen fixation by cyanobacteria in the high Arctic?,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
